A_pred,B_pred,Effusion_pred,Consolidation_pred
0.01807784102857113,0.025169234722852707,0.957233190536499,0.7562927603721619
0.13341136276721954,0.02081882767379284,0.8932742476463318,0.01468353159725666
0.013826388865709305,0.018429487943649292,0.958472490310669,0.011006130836904049
0.010944443754851818,0.011482038535177708,0.9798237085342407,0.17243853211402893
0.03616294637322426,0.02181929349899292,0.9660702347755432,0.014278181828558445
0.034842461347579956,0.07232318073511124,0.9524216651916504,0.3087480962276459
0.0071267844177782536,0.02045469731092453,0.9855374693870544,0.32771795988082886
0.010648135095834732,0.022837448865175247,0.9847344160079956,0.18268702924251556
0.012959050014615059,0.015762263908982277,0.9834708571434021,0.08242925256490707
0.011039497330784798,0.04041849821805954,0.9511137008666992,0.6625428199768066
0.011841091327369213,0.048567164689302444,0.9428419470787048,0.6712679266929626
0.02716517262160778,0.02956925332546234,0.9608091115951538,0.17581315338611603
0.03516485542058945,0.059091854840517044,0.8994627594947815,0.8070087432861328
0.04420012980699539,0.05991078168153763,0.8700193166732788,0.9044532179832458
0.01005296129733324,0.030527224764227867,0.9686342477798462,0.4624205231666565
0.012482091784477234,0.023865558207035065,0.9616891741752625,0.8375594615936279
0.024657996371388435,0.02766183577477932,0.9440425038337708,0.4723994731903076
0.9079248309135437,0.20684567093849182,0.019162315875291824,0.012751616537570953
0.8720837235450745,0.13649329543113708,0.035279519855976105,0.024032674729824066
0.8720837235450745,0.13649329543113708,0.035279519855976105,0.024032674729824066
0.7994213700294495,0.16467884182929993,0.0748889222741127,0.06588577479124069
0.8028488755226135,0.10125140100717545,0.08434239774942398,0.04341711476445198
0.741354763507843,0.5314739942550659,0.03142635524272919,0.04760526493191719
0.46308964490890503,0.03148210421204567,0.3173193037509918,0.01761716790497303
0.9079248309135437,0.20684567093849182,0.019162315875291824,0.012751616537570953
0.8684564828872681,0.08072538673877716,0.06842286139726639,0.022953273728489876
0.8853085041046143,0.24566808342933655,0.030345598235726357,0.03353777527809143
0.8919239640235901,0.05699964240193367,0.04840962588787079,0.0245059821754694
0.8940223455429077,0.07192620635032654,0.06557673960924149,0.017879575490951538
0.949883222579956,0.03804308548569679,0.034777041524648666,0.014290173538029194
0.7995452880859375,0.38487040996551514,0.03816661611199379,0.04314740002155304
0.9115785956382751,0.12201829999685287,0.06388115882873535,0.043674007058143616
0.05590571090579033,0.08572682738304138,0.827434241771698,0.7026540040969849
0.08193343877792358,0.12008552253246307,0.7577239871025085,0.8078681230545044
0.023530948907136917,0.02036222629249096,0.9754094481468201,0.04152781888842583
0.004690547473728657,0.004661530256271362,0.9942494630813599,0.1318097859621048
0.011140909045934677,0.016614854335784912,0.9677047729492188,0.6334927082061768
0.010613138787448406,0.017972756177186966,0.9797919988632202,0.24330942332744598
0.01583343930542469,0.020157210528850555,0.9525946974754333,0.8565414547920227
0.013735962100327015,0.017238503322005272,0.9845917820930481,0.10575578361749649
0.15704235434532166,0.06764950603246689,0.7796578407287598,0.0935349091887474
0.00799604319036007,0.008298580534756184,0.9921660423278809,0.026749957352876663
0.013723351992666721,0.010461910627782345,0.9871202111244202,0.04112521931529045
0.006606918293982744,0.007866495288908482,0.9942141175270081,0.058907411992549896
0.16589803993701935,0.13749568164348602,0.7059943079948425,0.47896137833595276
0.1463782787322998,0.11153379082679749,0.772741436958313,0.41975638270378113
0.059292055666446686,0.08231949806213379,0.8707581758499146,0.39793142676353455
0.06085950881242752,0.04173015430569649,0.9089136719703674,0.36665624380111694
0.3329174816608429,0.7630701065063477,0.28047141432762146,0.3026277720928192
0.14862997829914093,0.6928021907806396,0.4821270704269409,0.20151641964912415
0.4355112612247467,0.49865126609802246,0.41930171847343445,0.35205599665641785
0.335318386554718,0.3606559932231903,0.5702435970306396,0.322870671749115
0.46905484795570374,0.6326555013656616,0.16329744458198547,0.19585619866847992
0.8741684556007385,0.30788981914520264,0.06214901804924011,0.09930559247732162
0.8249110579490662,0.3590434491634369,0.09666705876588821,0.09901050478219986
0.17218971252441406,0.3255004584789276,0.7185112237930298,0.65812748670578
0.05914665386080742,0.09682509303092957,0.8680459856987,0.6711025834083557
